[Sunday/October 01/10/2023 00:06:34] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E04 - Laura's Secret Diary (1080p BluRay x265 Silence).mkv | length=2818.107 | time=472.806
[Sunday/October 01/10/2023 00:07:59] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E05 - The Orchid's Curse (1080p BluRay x265 Silence).mkv | length=2827.908 | time=4.087
[Sunday/October 01/10/2023 00:18:35] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E04 - Laura's Secret Diary (1080p BluRay x265 Silence).mkv | length=2818.107 | time=499.749
[Sunday/October 01/10/2023 00:32:55] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E02 - Coma (1080p BluRay x265 Silence).mkv | length=2814.974 | time=1146.645
[Sunday/October 01/10/2023 00:33:05] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E02 - Coma (1080p BluRay x265 Silence).mkv | length=2814.974 | time=1150.941
[Sunday/October 01/10/2023 00:41:24] /Users/maslomeister/Downloads/Bullet.Train.2022.4K.HDR10+.2160p.WEBDL Ita Eng x265-NAHOM/Bullet.Train.2022.4K.HDR10+.2160p.WEBDL Ita Eng x265-NAHOM.mkv | length=7589.92 | time=940.481
[Sunday/October 01/10/2023 00:41:56] /Users/maslomeister/Downloads/Bullet.Train.2022.4K.HDR10+.2160p.WEBDL Ita Eng x265-NAHOM/Bullet.Train.2022.4K.HDR10+.2160p.WEBDL Ita Eng x265-NAHOM.mkv | length=7589.92 | time=966.883
[Sunday/October 01/10/2023 01:00:06] /Users/maslomeister/Downloads/Bullet.Train.2022.4K.HDR10+.2160p.WEBDL Ita Eng x265-NAHOM/Bullet.Train.2022.4K.HDR10+.2160p.WEBDL Ita Eng x265-NAHOM.mkv | length=7589.92 | time=972.096
[Sunday/October 01/10/2023 01:18:51] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E01 - May the Giant Be with You (1080p BluRay x265 Silence).mkv | length=5652.819 | time=2478.368
[Sunday/October 01/10/2023 01:19:04] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E01 - May the Giant Be with You (1080p BluRay x265 Silence).mkv | length=5652.819 | time=2486.859
[Sunday/October 01/10/2023 01:19:08] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E04 - Laura's Secret Diary (1080p BluRay x265 Silence).mkv | length=2818.107 | time=500.291
[Sunday/October 01/10/2023 01:22:37] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E01 - May the Giant Be with You (1080p BluRay x265 Silence).mkv | length=5652.819 | time=2488.653
[Sunday/October 01/10/2023 01:22:38] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E02 - Coma (1080p BluRay x265 Silence).mkv | length=2814.974 | time=1155.196
[Sunday/October 01/10/2023 01:24:35] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E03 - The Man Behind the Glass (1080p BluRay x265 Silence).mkv | length=2826.879 | time=1167.124
[Sunday/October 01/10/2023 01:26:31] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E03 - The Man Behind the Glass (1080p BluRay x265 Silence).mkv | length=2826.879 | time=1172.797
[Sunday/October 01/10/2023 01:54:38] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E03 - The Man Behind the Glass (1080p BluRay x265 Silence).mkv | length=2826.879 | time=1185.851
[Sunday/October 01/10/2023 01:54:51] /Volumes/media/series/Twin Peaks (1990) Season 1-3 S01-S03 (1080p BluRay x265 HEVC 10bit AAC 7.1 Silence)/Season 2/Twin Peaks (1990) - S02E03 - The Man Behind the Glass (1080p BluRay x265 Silence).mkv | length=2826.879 | time=0
